"COUNTY","STATE","POPULATION","UNEMPLOYMENT_RATE","DENSITY"
"franklin","PA",153851,5.2,"193.7"
"franklin","VT",48915,3.2,"75.3"
"franklin","VA",56069,4.3,"81.3"
"franklin","WA",90160,7.6,"62.9"
"franklin city","VA",8306,5.9,"1045.8"
"franklin parish","LA",20330,9.1,"33.2"
"frederick","MD",247591,3.7,"353.5"
"frederick","VA",84421,3.5,"189.4"
"fredericksburg city","VA",28297,4.7,"2326.2"
"freeborn","MN",30446,3.9,"44.2"
"freestone","TX",19624,6.9,"22.6"
"fresno","CA",979915,9.4,"156.2"
"frio","TX",18956,5,"15.2"
"fulton","GA",1023336,5.4,"1748"
"fulton","IL",35536,7.4,"42.8"
"fulton","IN",20139,4.7,"56.6"
"fulton","NY",53828,5.7,"112.1"
"fulton","OH",42514,4.6,"105.3"
"gadsden","FL",46006,6.3,"89.8"
"galax city","VA",6775,5,"854.7"
"gallatin","IL",5212,7.6,"17.3"
"gallia","OH",30015,6.7,"66.3"
"galveston","TX",329431,5.3,"769.9"
"garfield","CO",58887,3.6,"19.1"
"garfield","OK",62603,4.3,"57.2"
"garfield","UT",4986,8.4,"1"
"garfield","WA",2247,6,"3.2"
"garland","AR",97477,4.3,"141.7"
"garrett","MD",29425,5.5,"46.5"
"garvin","OK",27838,5.4,"34.4"
"gaston","NC",216965,5.3,"578.8"
"geary","KS",35586,5.8,"89.3"
"geauga","OH",94060,4.4,"233.4"
"genesee","MI",408615,5.4,"668.5"
"genesee","NY",58482,4.6,"121.9"
"geneva","AL",26614,5.9,"46.6"
"george","MS",23695,7.4,"47.2"
"georgetown","SC",61399,6.5,"73.9"
"gibson","IN",33703,3.7,"68.7"
"gibson","TN",49401,6,"82.4"
"gila","AZ",53556,7.2,"11.3"
"gilchrist","FL",17212,5.1,"48.4"
"giles","VA",16857,5.3,"48.6"
"gillespie","TX",26521,2.8,"23.5"
"gilmer","WV",8249,8.2,"25.7"
"gilpin","CO",5931,2.4,"36.3"
"glades","FL",13970,6.2,"16"
"gladwin","MI",25122,6.8,"51.2"
"glascock","GA",3006,6.1,"21.4"
"glasscock","TX",1314,3.8,"1.4"
"glenn","CA",28085,8.2,"21.4"
"gloucester","NJ",292330,5.1,"895.3"
"gloucester","VA",37214,3.7,"169.2"
"glynn","GA",84502,5.3,"189.7"
"gogebic","MI",15243,6.5,"14.9"
"goliad","TX",7517,5.8,"8.5"
"gonzales","TX",20876,4.3,"18.6"
"goochland","VA",22668,3.7,"77.2"
"goodhue","MN",46676,3.8,"61"
"gordon","GA",56904,5.7,"155.1"
"grady","GA",24808,5.5,"55"
"grady","OK",54655,5,"47.6"
"graham","AZ",37599,6.7,"8.1"
"grand","CO",15008,2.7,"8"
"grand","UT",9579,5.8,"2.5"
"grand forks","ND",71083,2.4,"46.5"
"grand isle","VT",6919,4,"85.2"
"grand traverse","MI",92084,4.1,"187.3"
"grant","MN",5956,4.7,"11"
"grant","NE",641,2.4,"0.8"
"grant","OK",4465,3.3,"4.5"
"grant","OR",7158,7.8,"1.6"
"grant","WA",93546,7.4,"33.3"
"grant","WI",52214,4.1,"44.7"
"granville","NC",59031,4.3,"112.7"
"gratiot","MI",41202,5,"74.7"
"gray","KS",6034,2.3,"6.9"
"grays harbor","WA",71628,8.7,"38.3"
"grayson","TX",128235,3.8,"129.6"
"green","WI",37075,3.4,"63.1"
"greene","AL",8422,10.1,"14"
"greene","GA",17003,5.8,"41.3"
"greene","IL",13093,5.9,"25.6"
"greene","IN",32211,6.6,"61.1"
"greene","MO",288690,3.8,"407.5"
"greene","NY",47508,5,"76.1"
"greene","NC",21168,5.2,"80.3"
"greene","OH",164765,4.3,"390.5"
"greene","PA",37197,7.8,"67.2"
"greene","VA",19371,3.2,"117.8"
"greenlee","AZ",9613,7.6,"4.6"
"greensville","VA",11706,5.1,"41.5"
"greenville","SC",498766,4.1,"574.7"
"greenwood","SC",70133,5,"153.2"
"greer","OK",5998,7.5,"9.8"
"gregg","TX",123745,6.1,"445.4"
"gregory","SD",4171,2.9,"4.2"
"grimes","TX",27671,6.7,"33.8"
"grundy","IL",50437,6.8,"119.8"
"grundy","MO",10165,4.6,"23.6"
"guadalupe","NM",4376,6.5,"1.5"
"guadalupe","TX",155265,3.6,"184.9"
"guernsey","OH",39063,7,"76.8"
"guilford","NC",521330,5.2,"756.4"
"gulf","FL",15990,4.5,"28.1"
"gunnison","CO",16408,2.3,"4.7"
"gwinnett","GA",907135,4.7,"1871.2"
"hale","AL",14952,7.8,"24.5"
"hale","TX",34263,5.7,"36.1"
"halifax","VA",34992,5.8,"44.3"
"hall","GA",196637,4.5,"457.5"
"hall","NE",61705,3.8,"107.3"
"hall","TX",3138,7.1,"3.8"
"hamilton","FL",14361,5.6,"28.8"
"hamilton","IL",8061,6.3,"19.5"
"hamilton","IN",316373,3.2,"696.4"
"hamilton","KS",2536,2.7,"2.7"
"hamilton","NY",4542,6.5,"2.8"
